==================================================================================
STEP 5 MAIN RUN -- armA_seed0_ens5
==================================================================================
  arm A: state branch feeds back its own SAMPLE (autoregressive, faithful)
  auxiliary branch: teacher-forced in BOTH arms (system_dynamics.py:264)
  ensemble 5, batch 256, lr 0.0001, weight_decay 1e-05, 2500 iterations
  action alignment: causal, offset=1 (X-05)
  gradient clipping: NONE -- the reference has none in this path (5.7a)
  7687 training windows from episodes [0, 2, 3, 4, 5, 6, 7, 9]

    iter      state     bound   contact    termin      total    |grad| exp(logdel)      s
       0   46.61878 1.000e+00   0.69126 7.157e-01   49.02577    20.673    0.999900      8
      25   36.46743 9.975e-01   0.61410 3.522e-01   38.43126    11.862    0.997421    157
      50   30.19718 9.951e-01   0.41605 2.213e-02   31.63042    10.447    0.994956    316
      75   23.33941 9.926e-01   0.36617 6.621e-03   24.70480     9.122    0.992502    470
     100   16.80895 9.902e-01   0.35527 3.971e-03   18.15835     8.000    0.990059    628
     125   17.34058 9.877e-01   0.35078 2.849e-03   18.68194     7.223    0.987632    791
     150   13.11279 9.853e-01   0.34348 2.203e-03   14.44380     9.518    0.985237    970
     175   13.60241 9.830e-01   0.33584 1.881e-03   14.92314     6.315    0.982910   1184
     200   13.85016 9.808e-01   0.30349 1.822e-03   15.13625     9.061    0.980682   1398
